      v      ,      ids   ,      gd
    0.0      ,    0.0     ,    0.0
  1.0000e-02 ,  1.331e-06 ,    0.0
  2.0000e-02 ,  2.603e-06 ,  1.331e-04
  3.0000e-02 ,  3.814e-06 ,  1.272e-04
  4.0000e-02 ,  4.966e-06 ,  1.212e-04
  5.0000e-02 ,  6.057e-06 ,  1.151e-04
  6.0000e-02 ,  7.088e-06 ,  1.091e-04
  7.0000e-02 ,  8.059e-06 ,  1.031e-04
  8.0000e-02 ,  8.969e-06 ,  9.707e-05
  9.0000e-02 ,  9.820e-06 ,  9.107e-05
    0.10000  ,  1.061e-05 ,  8.510e-05
    0.11000  ,  1.135e-05 ,  7.918e-05
    0.12000  ,  1.202e-05 ,  7.330e-05
    0.13000  ,  1.264e-05 ,  6.749e-05
    0.14000  ,  1.320e-05 ,  6.176e-05
    0.15000  ,  1.370e-05 ,  5.612e-05
    0.16000  ,  1.416e-05 ,  5.061e-05
    0.17000  ,  1.456e-05 ,  4.523e-05
    0.18000  ,  1.491e-05 ,  4.003e-05
    0.19000  ,  1.521e-05 ,  3.504e-05
    0.20000  ,  1.547e-05 ,  3.031e-05
    0.21000  ,  1.569e-05 ,  2.588e-05
    0.22000  ,  1.587e-05 ,  2.180e-05
    0.23000  ,  1.602e-05 ,  1.811e-05
    0.24000  ,  1.614e-05 ,  1.485e-05
    0.25000  ,  1.623e-05 ,  1.205e-05
    0.26000  ,  1.631e-05 ,  9.698e-06
    0.27000  ,  1.638e-05 ,  7.788e-06
    0.28000  ,  1.643e-05 ,  6.280e-06
    0.29000  ,  1.647e-05 ,  5.126e-06
    0.30000  ,  1.651e-05 ,  4.269e-06
    0.31000  ,  1.654e-05 ,  3.653e-06
    0.32000  ,  1.657e-05 ,  3.224e-06
    0.33000  ,  1.660e-05 ,  2.936e-06
    0.34000  ,  1.662e-05 ,  2.751e-06
    0.35000  ,  1.665e-05 ,  2.639e-06
    0.36000  ,  1.667e-05 ,  2.578e-06
    0.37000  ,  1.670e-05 ,  2.550e-06
    0.38000  ,  1.672e-05 ,  2.543e-06
    0.39000  ,  1.675e-05 ,  2.550e-06
    0.40000  ,  1.678e-05 ,  2.564e-06
    0.41000  ,  1.680e-05 ,  2.581e-06
    0.42000  ,  1.683e-05 ,  2.600e-06
    0.43000  ,  1.685e-05 ,  2.618e-06
    0.44000  ,  1.688e-05 ,  2.636e-06
    0.45000  ,  1.691e-05 ,  2.651e-06
    0.46000  ,  1.693e-05 ,  2.665e-06
    0.47000  ,  1.696e-05 ,  2.678e-06
    0.48000  ,  1.699e-05 ,  2.689e-06
    0.49000  ,  1.701e-05 ,  2.698e-06
