       v     ,      ids   ,      gm    ,      gm2   ,      vd
   -1.30000 ,   1.342e-08 , -1.470e-05 , -3.440e-06 , -1.342e-08
   -1.29000 ,   1.308e-08 , -1.910e-03 , -1.917e-03 , -1.308e-08
   -1.28000 ,   1.275e-08 , -3.398e-08 ,   -0.1895  , -1.275e-08
   -1.27000 ,   1.243e-08 , -3.326e-08 ,    0.1910  , -1.243e-08
   -1.26000 ,   1.211e-08 , -3.256e-08 ,  7.162e-08 , -1.211e-08
   -1.25000 ,   1.180e-08 , -3.187e-08 ,  7.006e-08 , -1.180e-08
   -1.24000 ,   1.149e-08 , -3.119e-08 ,  6.921e-08 , -1.149e-08
   -1.23000 ,   1.119e-08 , -3.052e-08 ,  6.807e-08 , -1.119e-08
   -1.22000 ,   1.090e-08 , -2.986e-08 ,  6.679e-08 , -1.090e-08
   -1.21000 ,   1.061e-08 , -2.922e-08 ,  6.565e-08 , -1.061e-08
   -1.20000 ,   1.033e-08 , -2.858e-08 ,  6.459e-08 , -1.033e-08
   -1.19000 ,   1.006e-08 , -2.796e-08 ,  6.381e-08 , -1.006e-08
   -1.18000 ,   9.793e-09 , -2.734e-08 ,  6.239e-08 , -9.793e-09
   -1.17000 ,   9.532e-09 , -2.674e-08 ,  6.118e-08 , -9.532e-09
   -1.16000 ,   9.276e-09 , -2.614e-08 ,  6.047e-08 , -9.276e-09
   -1.15000 ,   9.026e-09 , -2.556e-08 ,  5.947e-08 , -9.026e-09
   -1.14000 ,   8.782e-09 , -2.499e-08 ,  5.812e-08 , -8.782e-09
   -1.13000 ,   8.543e-09 , -2.443e-08 ,  5.734e-08 , -8.543e-09
   -1.12000 ,   8.310e-09 , -2.387e-08 ,  5.627e-08 , -8.310e-09
   -1.11000 ,   8.082e-09 , -2.333e-08 ,  5.521e-08 , -8.082e-09
   -1.10000 ,   7.859e-09 , -2.280e-08 ,  5.443e-08 , -7.859e-09
   -1.09000 ,   7.641e-09 , -2.228e-08 ,  5.322e-08 , -7.641e-09
   -1.08000 ,   7.429e-09 , -2.176e-08 ,  5.230e-08 , -7.429e-09
   -1.07000 ,   7.221e-09 , -2.126e-08 ,  5.144e-08 , -7.221e-09
   -1.06000 ,   7.019e-09 , -2.076e-08 ,  5.059e-08 , -7.019e-09
   -1.05000 ,   6.821e-09 , -2.027e-08 ,  4.938e-08 , -6.821e-09
   -1.04000 ,   6.627e-09 , -1.980e-08 ,  4.889e-08 , -6.627e-09
   -1.03000 ,   6.439e-09 , -1.933e-08 ,  4.768e-08 , -6.439e-09
   -1.02000 ,   6.255e-09 , -1.887e-08 ,  4.675e-08 , -6.255e-09
   -1.01000 ,   6.075e-09 , -1.842e-08 ,  4.611e-08 , -6.075e-09
   -1.00000 ,   5.899e-09 , -1.797e-08 ,  4.512e-08 , -5.899e-09
   -0.99000 ,   5.728e-09 , -1.754e-08 ,  4.412e-08 , -5.728e-09
   -0.98000 ,   5.561e-09 , -1.711e-08 ,  4.356e-08 , -5.561e-09
   -0.97000 ,   5.398e-09 , -1.670e-08 ,  4.256e-08 , -5.398e-09
   -0.96000 ,   5.240e-09 , -1.629e-08 ,  4.178e-08 , -5.240e-09
   -0.95000 ,   5.085e-09 , -1.588e-08 ,  4.093e-08 , -5.085e-09
   -0.94000 ,   4.934e-09 , -1.549e-08 ,  4.022e-08 , -4.934e-09
   -0.93000 ,   4.786e-09 , -1.510e-08 ,  3.944e-08 , -4.786e-09
   -0.92000 ,   4.643e-09 , -1.473e-08 ,  3.851e-08 , -4.643e-09
   -0.91000 ,   4.503e-09 , -1.435e-08 ,  3.794e-08 , -4.503e-09
   -0.90000 ,   4.367e-09 , -1.399e-08 ,  3.709e-08 , -4.367e-09
   -0.89000 ,   4.234e-09 , -1.364e-08 ,  3.631e-08 , -4.234e-09
   -0.88000 ,   4.104e-09 , -1.329e-08 ,  3.546e-08 , -4.104e-09
   -0.87000 ,   3.978e-09 , -1.295e-08 ,  3.510e-08 , -3.978e-09
   -0.86000 ,   3.855e-09 , -1.261e-08 ,  3.403e-08 , -3.855e-09
   -0.85000 ,   3.736e-09 , -1.228e-08 ,  3.361e-08 , -3.736e-09
   -0.84000 ,   3.619e-09 , -1.196e-08 ,  3.261e-08 , -3.619e-09
   -0.83000 ,   3.506e-09 , -1.165e-08 ,  3.226e-08 , -3.506e-09
   -0.82000 ,   3.395e-09 , -1.134e-08 ,  3.133e-08 , -3.395e-09
   -0.81000 ,   3.288e-09 , -1.104e-08 ,  3.070e-08 , -3.288e-09
   -0.80000 ,   3.183e-09 , -1.074e-08 ,  3.020e-08 , -3.183e-09
   -0.79000 ,   3.082e-09 , -1.046e-08 ,  2.949e-08 , -3.082e-09
   -0.78000 ,   2.983e-09 , -1.017e-08 ,  2.878e-08 , -2.983e-09
   -0.77000 ,   2.886e-09 , -9.897e-09 ,  2.821e-08 , -2.886e-09
   -0.76000 ,   2.793e-09 , -9.627e-09 ,  2.764e-08 , -2.793e-09
   -0.75000 ,   2.702e-09 , -9.364e-09 ,  2.700e-08 , -2.702e-09
   -0.74000 ,   2.613e-09 , -9.105e-09 ,  2.636e-08 , -2.613e-09
   -0.73000 ,   2.527e-09 , -8.854e-09 ,  2.586e-08 , -2.527e-09
   -0.72000 ,   2.444e-09 , -8.605e-09 ,  2.508e-08 , -2.444e-09
   -0.71000 ,   2.362e-09 , -8.365e-09 ,  2.494e-08 , -2.362e-09
   -0.70000 ,   2.283e-09 , -8.129e-09 ,  2.395e-08 , -2.283e-09
   -0.69000 ,   2.207e-09 , -7.898e-09 ,  2.366e-08 , -2.207e-09
   -0.68000 ,   2.132e-09 , -7.672e-09 ,  2.302e-08 , -2.132e-09
   -0.67000 ,   2.060e-09 , -7.454e-09 ,  2.260e-08 , -2.060e-09
   -0.66000 ,   1.989e-09 , -7.238e-09 ,  2.181e-08 , -1.989e-09
   -0.65000 ,   1.921e-09 , -7.029e-09 ,  2.160e-08 , -1.921e-09
   -0.64000 ,   1.855e-09 , -6.824e-09 ,  2.096e-08 , -1.855e-09
   -0.63000 ,   1.791e-09 , -6.626e-09 ,  2.046e-08 , -1.791e-09
   -0.62000 ,   1.728e-09 , -6.428e-09 ,  1.982e-08 , -1.728e-09
   -0.61000 ,   1.668e-09 , -6.239e-09 ,  1.982e-08 , -1.668e-09
   -0.60000 ,   1.609e-09 , -6.052e-09 ,  1.883e-08 , -1.609e-09
   -0.59000 ,   1.552e-09 , -5.871e-09 ,  1.876e-08 , -1.552e-09
   -0.58000 ,   1.497e-09 , -5.694e-09 ,  1.805e-08 , -1.497e-09
   -0.57000 ,   1.443e-09 , -5.522e-09 ,  1.769e-08 , -1.443e-09
   -0.56000 ,   1.391e-09 , -5.353e-09 ,  1.720e-08 , -1.391e-09
   -0.55000 ,   1.341e-09 , -5.189e-09 ,  1.698e-08 , -1.341e-09
   -0.54000 ,   1.292e-09 , -5.029e-09 ,  1.634e-08 , -1.292e-09
   -0.53000 ,   1.245e-09 , -4.874e-09 ,  1.599e-08 , -1.245e-09
   -0.52000 ,   1.199e-09 , -4.719e-09 ,  1.549e-08 , -1.199e-09
   -0.51000 ,   1.155e-09 , -4.574e-09 ,  1.549e-08 , -1.155e-09
   -0.50000 ,   1.112e-09 , -4.429e-09 ,  1.457e-08 , -1.112e-09
   -0.49000 ,   1.071e-09 , -4.288e-09 ,  1.450e-08 , -1.071e-09
   -0.48000 ,   1.031e-09 , -4.151e-09 ,  1.407e-08 , -1.031e-09
   -0.47000 ,   9.917e-10 , -4.018e-09 ,  1.371e-08 , -9.917e-10
   -0.46000 ,   9.540e-10 , -3.888e-09 ,  1.329e-08 , -9.540e-10
   -0.45000 ,   9.177e-10 , -3.762e-09 ,  1.300e-08 , -9.177e-10
   -0.44000 ,   8.825e-10 , -3.639e-09 ,  1.258e-08 , -8.825e-10
   -0.43000 ,   8.484e-10 , -3.519e-09 ,  1.236e-08 , -8.484e-10
   -0.42000 ,   8.155e-10 , -3.401e-09 ,  1.194e-08 , -8.155e-10
   -0.41000 ,   7.837e-10 , -3.291e-09 ,  1.180e-08 , -7.837e-10
   -0.40000 ,   7.530e-10 , -3.180e-09 ,  1.108e-08 , -7.530e-10
   -0.39000 ,   7.233e-10 , -3.072e-09 ,  1.101e-08 , -7.233e-10
   -0.38000 ,   6.947e-10 , -2.967e-09 ,  1.080e-08 , -6.947e-10
   -0.37000 ,   6.670e-10 , -2.868e-09 ,  1.052e-08 , -6.670e-10
   -0.36000 ,   6.403e-10 , -2.766e-09 ,  9.877e-09 , -6.403e-10
   -0.35000 ,   6.145e-10 , -2.674e-09 ,  1.023e-08 , -6.145e-10
   -0.34000 ,   5.896e-10 , -2.580e-09 ,  9.237e-09 , -5.896e-10
   -0.33000 ,   5.656e-10 , -2.488e-09 ,  9.379e-09 , -5.656e-10
   -0.32000 ,   5.424e-10 , -2.401e-09 ,  9.237e-09 , -5.424e-10
   -0.31000 ,   5.201e-10 , -2.315e-09 ,  8.669e-09 , -5.201e-10
   -0.30000 ,   4.986e-10 , -2.230e-09 ,  8.598e-09 , -4.986e-10
   -0.29000 ,   4.779e-10 , -2.149e-09 ,  8.527e-09 , -4.779e-10
   -0.28000 ,   4.580e-10 , -2.069e-09 ,  8.029e-09 , -4.580e-10
   -0.27000 ,   4.389e-10 , -1.990e-09 ,  8.029e-09 , -4.389e-10
   -0.26000 ,   4.206e-10 , -1.912e-09 ,  7.887e-09 , -4.206e-10
   -0.25000 ,   4.030e-10 , -1.834e-09 ,  7.816e-09 , -4.030e-10
   -0.24000 ,   3.862e-10 , -1.757e-09 ,  7.816e-09 , -3.862e-10
   -0.23000 ,   3.703e-10 , -1.677e-09 ,  7.674e-09 , -3.703e-10
   -0.22000 ,   3.552e-10 , -1.597e-09 ,  8.029e-09 , -3.552e-10
   -0.21000 ,   3.410e-10 , -1.511e-09 ,  8.029e-09 , -3.410e-10
   -0.20000 ,   3.278e-10 , -1.418e-09 ,  8.598e-09 , -3.278e-10
   -0.19000 ,   3.158e-10 , -1.317e-09 ,  9.237e-09 , -3.158e-10
   -0.18000 ,   3.052e-10 , -1.199e-09 ,  1.009e-08 , -3.052e-10
   -0.17000 ,   2.962e-10 , -1.064e-09 ,  1.180e-08 , -2.962e-10
   -0.16000 ,   2.893e-10 , -8.988e-10 ,  1.357e-08 , -2.893e-10
   -0.15000 ,   2.849e-10 , -6.921e-10 ,  1.648e-08 , -2.849e-10
   -0.14000 ,   2.839e-10 , -4.356e-10 ,  2.068e-08 , -2.839e-10
   -0.13000 ,   2.873e-10 , -9.877e-11 ,  2.565e-08 , -2.873e-10
   -0.12000 ,   2.965e-10 ,  3.389e-10 ,  3.368e-08 , -2.965e-10
   -0.11000 ,   3.136e-10 ,  9.223e-10 ,  4.377e-08 , -3.136e-10
   -0.10000 ,   3.411e-10 ,  1.703e-09 ,  5.834e-08 , -3.411e-10
 -9.0000e-02,   3.830e-10 ,  2.757e-09 ,  7.809e-08 , -3.830e-10
 -8.0000e-02,   4.441e-10 ,  4.182e-09 ,  1.054e-07 , -4.441e-10
 -7.0000e-02,   5.317e-10 ,  6.119e-09 ,  1.425e-07 , -5.317e-10
 -6.0000e-02,   6.554e-10 ,  8.760e-09 ,  1.938e-07 , -6.554e-10
 -5.0000e-02,   8.282e-10 ,  1.236e-08 ,  2.641e-07 , -8.282e-10
 -4.0000e-02,   1.068e-09 ,  1.729e-08 ,  3.601e-07 , -1.068e-09
 -3.0000e-02,   1.401e-09 ,  2.402e-08 ,  4.924e-07 , -1.401e-09
 -2.0000e-02,   1.859e-09 ,  3.324e-08 ,  6.735e-07 , -1.859e-09
 -1.0000e-02,   2.491e-09 ,  4.585e-08 ,  9.219e-07 , -2.491e-09
    0.0     ,   3.358e-09 ,  6.312e-08 ,  1.261e-06 , -3.358e-09
  1.0000e-02,   4.548e-09 ,  8.674e-08 ,  1.727e-06 , -4.548e-09
  2.0000e-02,   6.180e-09 ,  1.190e-07 ,  2.362e-06 , -6.180e-09
  3.0000e-02,   8.412e-09 ,  1.631e-07 ,  3.229e-06 , -8.412e-09
  4.0000e-02,   1.146e-08 ,  2.232e-07 ,  4.410e-06 , -1.146e-08
  5.0000e-02,   1.562e-08 ,  3.050e-07 ,  6.011e-06 , -1.562e-08
  6.0000e-02,   2.127e-08 ,  4.158e-07 ,  8.174e-06 , -2.127e-08
  7.0000e-02,   2.893e-08 ,  5.652e-07 ,  1.108e-05 , -2.893e-08
  8.0000e-02,   3.925e-08 ,  7.656e-07 ,  1.494e-05 , -3.925e-08
  9.0000e-02,   5.308e-08 ,  1.032e-06 ,  2.004e-05 , -5.308e-08
    0.10000 ,   7.146e-08 ,  1.383e-06 ,  2.665e-05 , -7.146e-08
    0.11000 ,   9.566e-08 ,  1.838e-06 ,  3.507e-05 , -9.566e-08
    0.12000 ,   1.271e-07 ,  2.420e-06 ,  4.554e-05 , -1.271e-07
    0.13000 ,   1.675e-07 ,  3.148e-06 ,  5.816e-05 , -1.675e-07
    0.14000 ,   2.185e-07 ,  4.038e-06 ,  7.281e-05 , -2.185e-07
    0.15000 ,   2.818e-07 ,  5.099e-06 ,  8.903e-05 , -2.818e-07
    0.16000 ,   3.588e-07 ,  6.325e-06 ,  1.060e-04 , -3.588e-07
    0.17000 ,   4.507e-07 ,  7.701e-06 ,  1.226e-04 , -4.507e-07
    0.18000 ,   5.584e-07 ,  9.196e-06 ,  1.376e-04 , -5.584e-07
    0.19000 ,   6.822e-07 ,  1.077e-05 ,  1.495e-04 , -6.822e-07
    0.20000 ,   8.220e-07 ,  1.238e-05 ,  1.575e-04 , -8.220e-07
    0.21000 ,   9.773e-07 ,  1.398e-05 ,  1.609e-04 , -9.773e-07
    0.22000 ,   1.147e-06 ,  1.553e-05 ,  1.599e-04 , -1.147e-06
    0.23000 ,   1.331e-06 ,  1.700e-05 ,  1.549e-04 , -1.331e-06
    0.24000 ,   1.527e-06 ,  1.836e-05 ,  1.468e-04 , -1.527e-06
    0.25000 ,   1.734e-06 ,  1.961e-05 ,  1.364e-04 , -1.734e-06
    0.26000 ,   1.952e-06 ,  2.074e-05 ,  1.248e-04 , -1.952e-06
    0.27000 ,   2.178e-06 ,  2.174e-05 ,  1.126e-04 , -2.178e-06
    0.28000 ,   2.412e-06 ,  2.263e-05 ,  1.004e-04 , -2.412e-06
    0.29000 ,   2.653e-06 ,  2.340e-05 ,  8.861e-05 , -2.653e-06
    0.30000 ,   2.899e-06 ,  2.407e-05 ,  7.752e-05 , -2.899e-06
    0.31000 ,   3.151e-06 ,  2.465e-05 ,  6.725e-05 , -3.151e-06
    0.32000 ,   3.406e-06 ,  2.514e-05 ,  5.786e-05 , -3.406e-06
    0.33000 ,   3.665e-06 ,  2.556e-05 ,  4.934e-05 , -3.665e-06
    0.34000 ,   3.927e-06 ,  2.591e-05 ,  4.164e-05 , -3.927e-06
    0.35000 ,   4.191e-06 ,  2.619e-05 ,  3.468e-05 , -4.191e-06
    0.36000 ,   4.457e-06 ,  2.642e-05 ,  2.840e-05 , -4.457e-06
    0.37000 ,   4.725e-06 ,  2.660e-05 ,  2.273e-05 , -4.725e-06
    0.38000 ,   4.993e-06 ,  2.672e-05 ,  1.760e-05 , -4.993e-06
    0.39000 ,   5.261e-06 ,  2.681e-05 ,  1.296e-05 , -5.261e-06
    0.40000 ,   5.530e-06 ,  2.686e-05 ,  8.744e-06 , -5.530e-06
    0.41000 ,   5.799e-06 ,  2.688e-05 ,  4.917e-06 , -5.799e-06
    0.42000 ,   6.067e-06 ,  2.686e-05 ,  1.434e-06 , -6.067e-06
    0.43000 ,   6.334e-06 ,  2.681e-05 , -1.742e-06 , -6.334e-06
    0.44000 ,   6.601e-06 ,  2.674e-05 , -4.641e-06 , -6.601e-06
    0.45000 ,   6.866e-06 ,  2.664e-05 , -7.293e-06 , -6.866e-06
    0.46000 ,   7.130e-06 ,  2.652e-05 , -9.719e-06 , -7.130e-06
    0.47000 ,   7.392e-06 ,  2.638e-05 , -1.194e-05 , -7.392e-06
    0.48000 ,   7.652e-06 ,  2.622e-05 , -1.398e-05 , -7.652e-06
    0.49000 ,   7.911e-06 ,  2.605e-05 , -1.585e-05 , -7.911e-06
    0.50000 ,   8.168e-06 ,  2.586e-05 , -1.757e-05 , -8.168e-06
    0.51000 ,   8.422e-06 ,  2.565e-05 , -1.915e-05 , -8.422e-06
    0.52000 ,   8.674e-06 ,  2.543e-05 , -2.060e-05 , -8.674e-06
    0.53000 ,   8.923e-06 ,  2.520e-05 , -2.193e-05 , -8.923e-06
    0.54000 ,   9.170e-06 ,  2.496e-05 , -2.314e-05 , -9.170e-06
    0.55000 ,   9.415e-06 ,  2.470e-05 , -2.426e-05 , -9.415e-06
    0.56000 ,   9.657e-06 ,  2.444e-05 , -2.528e-05 , -9.657e-06
    0.57000 ,   9.896e-06 ,  2.417e-05 , -2.622e-05 , -9.896e-06
    0.58000 ,   1.013e-05 ,  2.389e-05 , -2.707e-05 , -1.013e-05
    0.59000 ,   1.036e-05 ,  2.361e-05 , -2.784e-05 , -1.036e-05
    0.60000 ,   1.059e-05 ,  2.332e-05 , -2.855e-05 , -1.059e-05
    0.61000 ,   1.082e-05 ,  2.302e-05 , -2.918e-05 , -1.082e-05
    0.62000 ,   1.105e-05 ,  2.272e-05 , -2.975e-05 , -1.105e-05
    0.63000 ,   1.127e-05 ,  2.241e-05 , -3.027e-05 , -1.127e-05
    0.64000 ,   1.149e-05 ,  2.210e-05 , -3.072e-05 , -1.149e-05
    0.65000 ,   1.170e-05 ,  2.178e-05 , -3.113e-05 , -1.170e-05
    0.66000 ,   1.191e-05 ,  2.146e-05 , -3.148e-05 , -1.191e-05
    0.67000 ,   1.212e-05 ,  2.114e-05 , -3.179e-05 , -1.212e-05
    0.68000 ,   1.232e-05 ,  2.082e-05 , -3.206e-05 , -1.232e-05
    0.69000 ,   1.253e-05 ,  2.050e-05 , -3.228e-05 , -1.253e-05
    0.70000 ,   1.272e-05 ,  2.017e-05 , -3.246e-05 , -1.272e-05
    0.71000 ,   1.292e-05 ,  1.984e-05 , -3.261e-05 , -1.292e-05
    0.72000 ,   1.311e-05 ,  1.952e-05 , -3.272e-05 , -1.311e-05
    0.73000 ,   1.330e-05 ,  1.919e-05 , -3.280e-05 , -1.330e-05
    0.74000 ,   1.349e-05 ,  1.886e-05 , -3.285e-05 , -1.349e-05
    0.75000 ,   1.367e-05 ,  1.853e-05 , -3.286e-05 , -1.367e-05
    0.76000 ,   1.385e-05 ,  1.820e-05 , -3.285e-05 , -1.385e-05
    0.77000 ,   1.402e-05 ,  1.787e-05 , -3.282e-05 , -1.402e-05
    0.78000 ,   1.419e-05 ,  1.755e-05 , -3.276e-05 , -1.419e-05
    0.79000 ,   1.436e-05 ,  1.722e-05 , -3.267e-05 , -1.436e-05
    0.80000 ,   1.453e-05 ,  1.690e-05 , -3.257e-05 , -1.453e-05
    0.81000 ,   1.469e-05 ,  1.657e-05 , -3.244e-05 , -1.469e-05
    0.82000 ,   1.485e-05 ,  1.625e-05 , -3.229e-05 , -1.485e-05
    0.83000 ,   1.501e-05 ,  1.593e-05 , -3.213e-05 , -1.501e-05
    0.84000 ,   1.516e-05 ,  1.562e-05 , -3.195e-05 , -1.516e-05
    0.85000 ,   1.531e-05 ,  1.530e-05 , -3.175e-05 , -1.531e-05
    0.86000 ,   1.546e-05 ,  1.499e-05 , -3.154e-05 , -1.546e-05
    0.87000 ,   1.560e-05 ,  1.468e-05 , -3.131e-05 , -1.560e-05
    0.88000 ,   1.574e-05 ,  1.437e-05 , -3.107e-05 , -1.574e-05
    0.89000 ,   1.588e-05 ,  1.406e-05 , -3.082e-05 , -1.588e-05
    0.90000 ,   1.601e-05 ,  1.376e-05 , -3.056e-05 , -1.601e-05
    0.91000 ,   1.614e-05 ,  1.346e-05 , -3.029e-05 , -1.614e-05
    0.92000 ,   1.627e-05 ,  1.316e-05 , -3.001e-05 , -1.627e-05
    0.93000 ,   1.640e-05 ,  1.287e-05 , -2.972e-05 , -1.640e-05
    0.94000 ,   1.652e-05 ,  1.258e-05 , -2.942e-05 , -1.652e-05
    0.95000 ,   1.664e-05 ,  1.229e-05 , -2.911e-05 , -1.664e-05
    0.96000 ,   1.676e-05 ,  1.200e-05 , -2.880e-05 , -1.676e-05
    0.97000 ,   1.687e-05 ,  1.172e-05 , -2.848e-05 , -1.687e-05
    0.98000 ,   1.699e-05 ,  1.145e-05 , -2.815e-05 , -1.699e-05
    0.99000 ,   1.709e-05 ,  1.117e-05 , -2.782e-05 , -1.709e-05
    1.00000 ,   1.720e-05 ,  1.090e-05 , -2.749e-05 , -1.720e-05
    1.01000 ,   1.730e-05 ,  1.063e-05 , -2.715e-05 , -1.730e-05
    1.02000 ,   1.741e-05 ,  1.037e-05 , -2.681e-05 , -1.741e-05
    1.03000 ,   1.750e-05 ,  1.011e-05 , -2.646e-05 , -1.750e-05
    1.04000 ,   1.760e-05 ,  9.847e-06 , -2.612e-05 , -1.760e-05
    1.05000 ,   1.769e-05 ,  9.593e-06 , -2.577e-05 , -1.769e-05
    1.06000 ,   1.778e-05 ,  9.343e-06 , -2.541e-05 , -1.778e-05
    1.07000 ,   1.787e-05 ,  9.095e-06 , -2.506e-05 , -1.787e-05
    1.08000 ,   1.796e-05 ,  8.852e-06 , -2.471e-05 , -1.796e-05
    1.09000 ,   1.804e-05 ,  8.612e-06 , -2.436e-05 , -1.804e-05
    1.10000 ,   1.812e-05 ,  8.375e-06 , -2.400e-05 , -1.812e-05
    1.11000 ,   1.820e-05 ,  8.143e-06 , -2.365e-05 , -1.820e-05
    1.12000 ,   1.828e-05 ,  7.913e-06 , -2.329e-05 , -1.828e-05
    1.13000 ,   1.835e-05 ,  7.687e-06 , -2.294e-05 , -1.835e-05
    1.14000 ,   1.843e-05 ,  7.465e-06 , -2.259e-05 , -1.843e-05
    1.15000 ,   1.850e-05 ,  7.246e-06 , -2.224e-05 , -1.850e-05
    1.16000 ,   1.857e-05 ,  7.031e-06 , -2.189e-05 , -1.857e-05
    1.17000 ,   1.863e-05 ,  6.819e-06 , -2.154e-05 , -1.863e-05
    1.18000 ,   1.870e-05 ,  6.610e-06 , -2.119e-05 , -1.870e-05
    1.19000 ,   1.876e-05 ,  6.405e-06 , -2.084e-05 , -1.876e-05
    1.20000 ,   1.882e-05 ,  6.204e-06 , -2.050e-05 , -1.882e-05
    1.21000 ,   1.888e-05 ,  6.005e-06 , -2.016e-05 , -1.888e-05
    1.22000 ,   1.893e-05 ,  5.811e-06 , -1.982e-05 , -1.893e-05
    1.23000 ,   1.899e-05 ,  5.619e-06 , -1.949e-05 , -1.899e-05
    1.24000 ,   1.904e-05 ,  5.431e-06 , -1.916e-05 , -1.904e-05
    1.25000 ,   1.909e-05 ,  5.246e-06 , -1.882e-05 , -1.909e-05
    1.26000 ,   1.914e-05 ,  5.064e-06 , -1.850e-05 , -1.914e-05
    1.27000 ,   1.919e-05 ,  4.886e-06 , -1.817e-05 , -1.919e-05
    1.28000 ,   1.923e-05 ,  4.710e-06 , -1.785e-05 , -1.923e-05
    1.29000 ,   1.927e-05 ,  4.538e-06 , -1.754e-05 , -1.927e-05
    1.30000 ,   1.932e-05 ,  4.369e-06 , -1.722e-05 , -1.932e-05
