    vi      ,    vo
      0.0     ,     0.9999
   1.000e-02,     0.9998
   2.000e-02,     0.9998
   3.000e-02,     0.9997
   4.000e-02,     0.9996
   5.000e-02,     0.9995
   6.000e-02,     0.9994
   7.000e-02,     0.9992
   8.000e-02,     0.9989
   9.000e-02,     0.9986
     0.1000 ,     0.9981
     0.1100 ,     0.9976
     0.1200 ,     0.9969
     0.1300 ,     0.9960
     0.1400 ,     0.9949
     0.1500 ,     0.9937
     0.1600 ,     0.9922
     0.1700 ,     0.9904
     0.1800 ,     0.9884
     0.1900 ,     0.9860
     0.2000 ,     0.9834
     0.2100 ,     0.9804
     0.2200 ,     0.9770
     0.2300 ,     0.9733
     0.2400 ,     0.9692
     0.2500 ,     0.9646
     0.2600 ,     0.9596
     0.2700 ,     0.9542
     0.2800 ,     0.9482
     0.2900 ,     0.9417
     0.3000 ,     0.9346
     0.3100 ,     0.9268
     0.3200 ,     0.9184
     0.3300 ,     0.9093
     0.3400 ,     0.8993
     0.3500 ,     0.8884
     0.3600 ,     0.8765
     0.3700 ,     0.8634
     0.3800 ,     0.8490
     0.3900 ,     0.8329
     0.4000 ,     0.8148
     0.4100 ,     0.7942
     0.4200 ,     0.7702
     0.4300 ,     0.7414
     0.4400 ,     0.7047
     0.4500 ,     0.6515
     0.4600 ,     0.5149
     0.4700 ,     0.2621
     0.4800 ,     0.2148
     0.4900 ,     0.1883
     0.5000 ,     0.1692
     0.5100 ,     0.1541
     0.5200 ,     0.1416
     0.5300 ,     0.1309
     0.5400 ,     0.1216
     0.5500 ,     0.1134
     0.5600 ,     0.1060
     0.5700 ,   9.928e-02
     0.5800 ,   9.319e-02
     0.5900 ,   8.760e-02
     0.6000 ,   8.245e-02
     0.6100 ,   7.769e-02
     0.6200 ,   7.326e-02
     0.6300 ,   6.914e-02
     0.6400 ,   6.528e-02
     0.6500 ,   6.167e-02
     0.6600 ,   5.827e-02
     0.6700 ,   5.508e-02
     0.6800 ,   5.207e-02
     0.6900 ,   4.924e-02
     0.7000 ,   4.656e-02
     0.7100 ,   4.402e-02
     0.7200 ,   4.162e-02
     0.7300 ,   3.935e-02
     0.7400 ,   3.720e-02
     0.7500 ,   3.515e-02
     0.7600 ,   3.322e-02
     0.7700 ,   3.138e-02
     0.7800 ,   2.963e-02
     0.7900 ,   2.798e-02
     0.8000 ,   2.641e-02
     0.8100 ,   2.492e-02
     0.8200 ,   2.350e-02
     0.8300 ,   2.216e-02
     0.8400 ,   2.089e-02
     0.8500 ,   1.968e-02
     0.8600 ,   1.854e-02
     0.8700 ,   1.745e-02
     0.8800 ,   1.642e-02
     0.8900 ,   1.545e-02
     0.9000 ,   1.452e-02
     0.9100 ,   1.364e-02
     0.9200 ,   1.281e-02
     0.9300 ,   1.202e-02
     0.9400 ,   1.127e-02
     0.9500 ,   1.056e-02
     0.9600 ,   9.895e-03
     0.9700 ,   9.267e-03
     0.9800 ,   8.675e-03
     0.9900 ,   8.118e-03
     1.0000 ,   7.595e-03
